,Id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,3874787,Punta Arenas,75,CL,1563134686,93,-53.16,-70.91,41,6.93
1,6929460,Panzhihua,100,CN,1563134686,92,26.59,101.72,67.12,1.57
2,5947866,Elliot Lake,1,CA,1563134686,39,46.37,-82.65,78.8,11.41
3,2094027,Kieta,100,PG,1563134687,78,-6.22,155.63,79,3.51
4,1850144,Nishihara,90,JP,1563134687,100,35.74,139.53,70,4.7
5,4035715,Avarua,19,CK,1563134599,73,-21.21,-159.78,71.6,4.7
6,5106834,Albany,75,US,1563134545,57,42.65,-73.75,86,10.29
7,6089245,Norman Wells,75,CA,1563134687,63,65.28,-126.83,62.6,5.82
8,964432,Port Alfred,0,ZA,1563134688,91,-33.59,26.89,61,1.01
9,3698304,Chimbote,0,PE,1563134688,87,-9.08,-78.59,62.8,16.82
10,1507390,Dikson,100,RU,1563134688,81,73.51,80.55,41.74,12.19
11,3137469,Sorland,75,NO,1563134688,81,67.67,12.69,50,9.17
12,6179138,Westlock,1,CA,1563134579,60,54.15,-113.85,80.01,3.36
13,3896218,Castro,40,CL,1563134689,81,-42.48,-73.76,48.2,11.41
14,3366880,Hermanus,16,ZA,1563134689,85,-34.42,19.24,53.01,1.01
15,934322,Mahebourg,40,MU,1563134689,77,-20.41,57.7,66,8.97
16,3833367,Ushuaia,20,AR,1563134689,86,-54.81,-68.31,41,3.36
17,3698658,Catacaos,39,PE,1563134689,86,-5.27,-80.68,64.6,14.65
18,2312393,Moanda,75,CD,1563134690,83,-5.93,12.38,73.4,6.93
19,986717,Kruisfontein,19,ZA,1563134690,89,-34.0,24.73,50.02,5.23
20,2155415,New Norfolk,75,AU,1563134690,61,-42.78,147.06,48.2,11.41
21,2374583,Bubaque,55,GW,1563134690,80,11.28,-15.83,80.26,11.25
22,1651810,Airai,48,TL,1563134691,80,-8.93,125.41,65.86,5.75
23,4696310,Harper,75,US,1563134691,43,30.3,-99.24,97,5.82
